"Total_Cases","Total_Deaths","Total_Recovered","Active_Cases","Total_Cases_Per_Million","Deaths_Per_Million","Total_Tests","Tests_Per_Million","Population","Country"
45738585,743880,35304097,9690608,137147,2231,667831767,2002490,333500730,"USA"
34053573,452010,33399961,201602,24368,323,589835258,422077,1397457529,"India"
21627476,602727,20773826,250923,100826,2810,63776166,297320,214503761,"Brazil"
5765904,123695,5294981,347228,67536,1449,32619228,382069,85375332,"Iran"
3749860,284008,3108714,357138,28696,2173,11035519,84450,130675153,"Mexico"
1772838,18205,1647255,107378,25317,260,9201621,131404,70025477,"Thailand"
2713509,40580,2587881,85048,24346,364,22006039,197441,111456355,"Philippines"
7958384,222315,6981907,754162,54504,1523,200000000,1369722,146015044,"Russia"
1263664,28252,1208438,26974,5582,125,20151188,89006,226402010,"Pakistan"
1430475,41130,1220953,168392,75003,2157,13789007,722985,19072331,"Romania"
1564881,27746,1526891,10244,9382,166,10061245,60319,166799986,"Bangladesh"
4377899,95416,4134100,148383,52038,1134,73348901,871864,84128837,"Germany"
7080375,117245,6872368,90762,108164,1791,146046715,2231101,65459475,"France"
155688,7238,126806,21644,3887,181,766204,19129,40053978,"Afghanistan"
5271361,115660,5137618,18083,115273,2529,24442563,534505,45729316,"Argentina"
8361651,138379,6839129,1384143,122345,2025,318440917,4659315,68345000,"UK"
513026,32899,443880,36247,28521,1829,1878768,104449,17987423,"Ecuador"
1676873,28468,1613623,34782,43934,746,44836340,1174713,38167897,"Canada"
2377033,27770,2251758,97505,72252,844,32254056,980390,32899223,"Malaysia"
390045,4693,370086,15266,13767,166,3359014,118558,28332156,"Venezuela"
7601626,67225,7039752,494649,88901,786,91316035,1067944,85506350,"Turkey"
358345,6169,328121,24055,3021,52,3591360,30277,118618470,"Ethiopia"
2915560,88562,2804065,22933,48375,1469,18122698,300691,60270236,"SouthAfrica"
537752,22188,456800,58764,78150,3225,5070696,736908,6881042,"Bulgaria"
839544,10859,813838,14847,81245,1051,10500766,1016194,10333431,"Jordan"
4984386,86974,4825794,71618,106554,1859,66213858,1415488,46778099,"Spain"
1314213,7976,1286112,20125,140919,855,28158919,3019399,9326000,"Israel"
1667547,37594,1620240,9713,86279,1945,22607856,1169736,19327320,"Chile"
340978,2644,308187,30147,6643,52,15198192,296111,51326002,"S.Korea"
551144,6797,470056,74291,106936,1319,2471064,479449,5153962,"CostaRica"
689896,15317,646019,28560,66609,1479,22961182,2216874,10357461,"Greece"
4712482,131503,4502457,78522,78089,2179,96870834,1605222,60347318,"Italy"
941446,14533,921048,5865,25123,388,9906472,264362,37473190,"Morocco"
110188,3447,92173,14568,16878,528,1329565,203661,6528330,"ElSalvador"
4978689,126796,4822045,29848,96523,2458,26194414,507836,51580472,"Colombia"
1713802,18078,1687306,8418,13604,144,25725966,204210,125977714,"Japan"
141055,1516,110092,29447,5450,59,40861457,1578858,25880389,"Australia"
1037707,8996,902120,126591,119386,1035,5964658,686221,8692032,"Serbia"
930822,8018,912470,10334,82245,708,10111292,893404,11317712,"Cuba"
2032660,22713,1961666,48281,49120,549,15504972,374685,41381374,"Iraq"
366481,5406,328939,32136,137088,2022,5288998,1978439,2673319,"Lithuania"
2933834,76067,2672656,185111,77629,2013,21463748,567926,37793225,"Poland"
125049,3180,96352,25517,2627,67,1742981,36623,47593018,"Uganda"
914699,11700,856930,46069,47977,614,11575012,607117,19065538,"Kazakhstan"
506150,18824,467916,19410,42613,1585,2470832,208022,11877741,"Bolivia"
372179,10097,113676,248406,36824,999,1069940,105861,10107074,"Honduras"
773540,11161,740910,21469,85262,1230,92324938,10176309,9072537,"Austria"
368830,4082,357463,7285,33567,372,2131595,193996,10987843,"DominicanRepublic"
433709,12816,400907,19986,79390,2346,3746277,685749,5463047,"Slovakia"
632781,8413,607119,17249,93247,1240,4780275,704425,6786068,"Lebanon"
313849,7172,294229,12448,78035,1783,1897343,471754,4021887,"Moldova"
1279869,25747,1186374,67748,109817,2209,20730999,1778790,11654550,"Belgium"
336508,1527,300074,34907,100566,456,4022930,1202260,3346141,"Mongolia"
2623882,60414,2322456,241012,60465,1392,13524231,311653,43395227,"Ukraine"
98402,1550,80433,16419,3592,57,1751774,63947,27393945,"Cameroon"
2040337,18237,1958779,63321,118737,1061,17632552,1026122,17183686,"Netherlands"
710673,25082,683918,1673,59333,2094,3016993,251884,11977688,"Tunisia"
179775,2632,174578,2565,26983,395,1745460,261982,6662527,"Kyrgyzstan"
833115,30351,790646,12118,86524,3152,7127710,740253,9628754,"Hungary"
424666,8862,405993,9811,104273,2176,2953888,725299,4072647,"Croatia"
854590,11171,807592,35827,97823,1279,11314175,1295111,8736066,"Switzerland"
180440,2869,155574,21997,97046,1543,4638524,2494744,1859319,"Latvia"
547845,8758,536859,2228,15428,247,29658311,835193,35510745,"SaudiArabia"
316711,17884,267355,31472,3022,171,3693367,35237,104813986,"Egypt"
307503,4635,290701,12167,147887,2229,1648179,792658,2079306,"Slovenia"
1707756,30539,1660821,16396,159089,2845,39263872,3657706,10734562,"Czechia"
411554,5306,364582,41666,82167,1059,7760890,1549474,5008726,"Ireland"
61709,2292,56742,2675,3122,116,417798,21139,19764292,"Malawi"
417256,4299,399964,12993,79422,818,2564204,488080,5253656,"Palestine"
1078729,18078,1030439,30212,106191,1780,19249013,1894884,10158411,"Portugal"
